DATE_ADMINISTERED,NEW_1ST_DOSES,NEW_2ND_DOSES,NEW_SINGLE_DOSES,NEW_SERIES_COMPLETED,NEW_RECIPIENTS,CUMULATIVE_1ST_DOSES,CUMULATIVE_2ND_DOSES,CUMULATIVE_SINGLE_DOSES,CUMULATIVE_SERIES_COMPLETED,CUMULATIVE_RECIPIENTS,NEW_BOOSTER_DOSES,NEW_BOOSTER_RECIPIENTS,CUMULATIVE_BOOSTER_DOSES,CUMULATIVE_BOOSTER_RECIPIENTS,DATA_AS_OF,DATA_UPDATED_AT,DATA_LOADED_AT
2020/12/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2020/12/12,1,1,0,1,2,1,1,0,1,2,0,0,0,0,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2020/12/13,0,0,0,0,0,1,1,0,1,2,0,0,0,0,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2020/12/14,1,0,0,0,1,2,1,0,1,3,0,0,0,0,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2020/12/15,13,0,0,0,13,15,1,0,1,16,0,0,0,0,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2020/12/16,231,0,0,0,231,246,1,0,1,247,0,0,0,0,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2020/12/17,414,0,0,0,414,660,1,0,1,661,0,0,0,0,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2020/12/18,920,1,0,1,921,1580,2,0,2,1582,0,0,0,0,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2020/12/19,637,1,0,1,638,2217,3,0,3,2220,0,0,0,0,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2020/12/20,489,2,0,2,491,2706,5,0,5,2711,0,0,0,0,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2020/12/21,1177,0,0,0,1177,3883,5,0,5,3888,0,0,0,0,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2020/12/22,1420,1,0,1,1421,5303,6,0,6,5309,0,0,0,0,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2020/12/23,1429,5,0,5,1434,6732,11,0,11,6743,0,0,0,0,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2020/12/24,869,2,0,2,871,7601,13,0,13,7614,0,0,0,0,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2020/12/25,47,0,0,0,47,7648,13,0,13,7661,0,0,0,0,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2020/12/26,256,0,0,0,256,7904,13,0,13,7917,0,0,0,0,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2020/12/27,279,1,0,1,280,8183,14,0,14,8197,0,0,0,0,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2020/12/28,1310,5,0,5,1315,9493,19,0,19,9512,0,0,0,0,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2020/12/29,1420,3,0,3,1423,10913,22,0,22,10935,0,0,0,0,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2020/12/30,1662,6,0,6,1668,12575,28,0,28,12603,0,0,0,0,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2020/12/31,1041,0,0,0,1041,13616,28,0,28,13644,0,0,0,0,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
2021/01/01,92,1,0,1,93,13708,29,0,29,13737,0,0,0,0,05/05/2022 06:00:11 AM,05/05/2022 07:36:45 AM,05/05/2022 08:15:08 AM
